Link,Chipset,Antutu_11,Clock,GPU,Architecture
/en/soc/hisilicon-kirin-710f,Kirin 710F,323894,2200 MHz,Mali-G51 MP4,4x 2.2 GHz – Cortex-A73 | 4x 1.7 GHz – Cortex-A53
/en/soc/mediatek-helio-p65,Helio P65,290447,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.7 GHz – Cortex-A55
/en/soc/samsung-exynos-9611,Exynos 9611,355351,2300 MHz,Mali-G72 MP3,4x 2.3 GHz – Cortex-A73 | 4x 1.7 GHz – Cortex-A53
/en/soc/hisilicon-kirin-710a,Kirin 710A,343622,2000 MHz,Mali-G51 MP4,4x 2 GHz – Cortex-A73 | 4x 1.7 GHz – Cortex-A53
/en/soc/mediatek-helio-g35,Helio G35,200794,2300 MHz,PowerVR GE8320,4x 2.3 GHz – Cortex-A53 | 4x 1.8 GHz – Cortex-A53
/en/soc/mediatek-helio-p70,Helio P70,303398,2100 MHz,Mali-G72 MP3,4x 2.1 GHz – Cortex-A73 | 4x 2 GHz – Cortex-A53
/en/soc/hisilicon-kirin-710,Kirin 710,336905,2200 MHz,Mali-G51 MP4,4x 2.2 GHz – Cortex-A73 | 4x 1.7 GHz – Cortex-A53
/en/soc/samsung-exynos-9610,Exynos 9610,352871,2300 MHz,Mali-G72 MP3,4x 2.3 GHz – Cortex-A73 | 4x 1.7 GHz – Cortex-A53
/en/soc/mediatek-helio-g50,Helio G50,184328,2200 MHz,PowerVR GE8320,4x 2.2 GHz – Cortex-A53 | 4x 1.7 GHz – Cortex-A53
/en/soc/mediatek-helio-g36,Helio G36,195539,2200 MHz,PowerVR GE8320,4x 2.2 GHz – Cortex-A53 | 4x 1.8 GHz – Cortex-A53
/en/soc/mediatek-helio-g37,Helio G37,194025,2300 MHz,PowerVR GE8320,4x 2.3 GHz – Cortex-A53 | 4x 1.8 GHz – Cortex-A53
/en/soc/mediatek-helio-p60,Helio P60,232802,2000 MHz,Mali-G72 MP3,4x 2 GHz – Cortex-A73 | 4x 2 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-821,Snapdragon 821,312361,2342 MHz,Adreno 530,2x 2.342 GHz – Kryo | 2x 1.6 GHz – Kryo
/en/soc/qualcomm-snapdragon-660,Snapdragon 660,347995,2200 MHz,Adreno 512,4x 2.2 GHz – Kryo 260 Gold (Cortex-A73) | 4x 1.84 GHz – Kryo 260 Silver (Cortex-A53)
/en/soc/mediatek-helio-p35,Helio P35,199111,2300 MHz,PowerVR GE8320,4x 2.3 GHz – Cortex-A53 | 4x 1.8 GHz – Cortex-A53
/en/soc/hisilicon-kirin-960,Kirin 960,366515,2360 MHz,Mali-G71 MP8,4x 2.36 GHz – Cortex-A73 | 4x 1.84 GHz – Cortex-A53
/en/soc/samsung-exynos-8890,Exynos 8890,418077,2300 MHz,Mali-T880 MP12,4x 2.3 GHz – Mongoose M1 | 4x 1.6 GHz – Cortex-A53
/en/soc/mediatek-helio-g25,Helio G25,163723,2000 MHz,PowerVR GE8320,4x 2 GHz – Cortex-A53 | 4x 1.5 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-439,Snapdragon 439,193115,2000 MHz,Adreno 505,4x 2 GHz – Cortex-A53 | 4x 1.45 GHz – Cortex-A53
/en/soc/mediatek-helio-p22,Helio P22,156818,2000 MHz,PowerVR GE8320,4x 2 GHz – Cortex-A53 | 4x 1.5 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-820,Snapdragon 820,333877,2150 MHz,Adreno 530,2x 2.15 GHz – Kryo | 2x 1.593 GHz – Kryo
/en/soc/samsung-exynos-7904,Exynos 7904,241600,1800 MHz,Mali-G71 MP2,2x 1.8 GHz – Cortex-A73 | 6x 1.6 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-636,Snapdragon 636,282713,1800 MHz,Adreno 509,4x 1.8 GHz – Kryo 260 Gold (Cortex-A73) | 4x 1.6 GHz – Kryo 260 Silver (Cortex-A53)
/en/soc/qualcomm-snapdragon-632,Snapdragon 632,243691,1800 MHz,Adreno 506,4x 1.8 GHz – Kryo 250 Gold (Cortex-A73 | 4x 1.8 GHz – Kryo 250 Silver (Cortex-A53)
/en/soc/samsung-exynos-7884b,Exynos 7884B,205752,1560 MHz,Mali-G71 MP2,2x 1.6 GHz – Cortex-A73 | 6x 1.35 GHz – Cortex-A53
/en/soc/samsung-exynos-7885,Exynos 7885,268800,2200 MHz,Mali-G71 MP2,2x 2.2 GHz – Cortex-A73 | 6x 1.6 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-630,Snapdragon 630,215323,2200 MHz,Adreno 508,4x 2.2 GHz – Cortex-A53 | 4x 1.8 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-450,Snapdragon 450,176718,1800 MHz,Adreno 506,8x 1.8 GHz – Cortex-A53
/en/soc/mediatek-helio-a22,Helio A22,155362,2000 MHz,PowerVR GE8300,4x 2 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-625,Snapdragon 625,218879,2000 MHz,Adreno 506,8x 2 GHz – Cortex-A53
/en/soc/samsung-exynos-7870,Exynos 7870,192269,1600 MHz,Mali-T830 MP1,8x 1.6 GHz – Cortex-A53
/en/soc/unisoc-sc9863a,Unisoc SC9863A,153667,1600 MHz,PowerVR GE8322,4x 1.6 GHz – Cortex-A55 | 4x 1.2 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-430,Snapdragon 430,180440,1400 MHz,Adreno 505,8x 1.4 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-801,Snapdragon 801,159133,2500 MHz,Adreno 330,4x 2.5 GHz – Krait
/en/soc/qualcomm-snapdragon-435,Snapdragon 435,150628,1400 MHz,Adreno 505,8x 1.4 GHz – Cortex-A53
/en/soc/qualcomm-snapdragon-425,Snapdragon 425,180934,1400 MHz,Adreno 308,4x 1.4 GHz – Cortex-A53
/en/soc/mediatek-mt6737,MediaTek MT6737,73398,1300 MHz,Mali-T720 MP2,4x 1.3 GHz – Cortex-A53
